parent,child
"Spinneys Products"," ALL "
"Spinneys Products",Groceries
"Spinneys Products","Chilled &amp; Juices"
"Spinneys Products","Canned &amp; Breakfast"
"Spinneys Products","Sauces &amp; Spices"
"Spinneys Products","Clean &amp; Bright"
"Spinneys Products","Laundry Products"
"Spinneys Products","Paper &amp; Plastic Products"
"Spinneys Products",Dishwashing
"Spinneys Products","Health &amp; Beauty"
"Spinneys Products",Men
"Spinneys Products",Women
"Spinneys Products",Kids
"Spinneys Products",Linen
Bakery,
"Fresh Food"," ALL "
"Fresh Food",Fruits
"Fresh Food",Vegetables
"Fresh Food",Meat
"Fresh Food",Poultry
"Fresh Food",Seafood
"Food Cupboard"," ALL "
"Food Cupboard","Herbs &amp; Spices"
"Food Cupboard","Sauces &amp; Dressings"
"Food Cupboard",Rice
"Food Cupboard","Pulses &amp; Grains"
"Food Cupboard",Pasta
"Food Cupboard",Sugar
"Food Cupboard","Homebake &amp; Desserts"
"Food Cupboard","Jam &amp; Spreads"
"Food Cupboard","Breakfast Cereal"
"Cheese, Dairy &amp; Eggs",
"Chilled &amp; Frozen "," ALL "
"Chilled &amp; Frozen ",Fish
"Chilled &amp; Frozen ",Poultry
Beverage," ALL "
Beverage,Tea
Beverage,"Coffee and Creamer"
Beverage,"Chocolate &amp; Cocoa"
Beverage,Herbal
Beverage,"Carbonated and Power Drinks"
Beverage,Juices
"Sweets &amp; Snacks"," ALL "
"Sweets &amp; Snacks",Chocolates
"Sweets &amp; Snacks","Biscuits &amp; Cakes"
"Sweets &amp; Snacks","Crisps &amp; Snacks"
"Sweets &amp; Snacks",Nuts
"Beauty &amp; Personal care"," ALL "
"Beauty &amp; Personal care","Body Wash"
"Beauty &amp; Personal care",Soap
"Beauty &amp; Personal care","Feminine Care"
"Beauty &amp; Personal care","Men Care"
Cleaning," ALL "
Cleaning,"Aluminum Foil &amp; Cling"
Cleaning,"Trash Bags"
Cleaning,"Paper Goods"
Cleaning,"Fabric Care"
Cleaning,Bleach
Cleaning,Detergents
Cleaning,"All Purpose"
Cleaning,Toilet
Cleaning,"Cream Cleaner"
Cleaning,Antiseptics
Cleaning,Insecticides
Cleaning,"Air Freshners"
Cleaning,Polish
Baby," ALL "
Baby,Feeding
Baby,"Diapers &amp; Wipes"
Baby,"Baby Products"
"Fashion &amp; Linen",
"Home &amp; Garden"," ALL "
"Home &amp; Garden",Cookware
"Home &amp; Garden","Plastics &amp; Containers"
"Home &amp; Garden",Dinnerware
"Home &amp; Garden",Cutlery
"Home &amp; Garden","Glass &amp; Crystal"
"Home &amp; Garden","Table Mat &amp; Trays"
"Home &amp; Garden",Other
"Home &amp; Garden","Plants &amp; Flowers"
"Home &amp; Garden","Garden Accessories"
"Home &amp; Garden","BBQ Accessories"
"Home &amp; Garden","Garden Furniture"
"Home &amp; Garden","Garden Tools"
"Electronics &amp; Appliances"," ALL "
"Electronics &amp; Appliances",TVs
"Electronics &amp; Appliances",Receivers
"Electronics &amp; Appliances","Air Conditioners"
"Electronics &amp; Appliances",Fan
"Electronics &amp; Appliances",Heater
"Electronics &amp; Appliances","Air Purifier"
"Electronics &amp; Appliances","Oil Radiator"
"Electronics &amp; Appliances",Cookers
"Electronics &amp; Appliances",Hoods
"Electronics &amp; Appliances",Fridge
"Electronics &amp; Appliances",Freezers
"Electronics &amp; Appliances","Water Despenser"
"Electronics &amp; Appliances",Microwaves
"Electronics &amp; Appliances",Toasters
"Electronics &amp; Appliances",Ovens
"Electronics &amp; Appliances","Coffee Makers"
"Electronics &amp; Appliances",Kettles
"Electronics &amp; Appliances","Food Proccessor &amp; Blenders"
"Electronics &amp; Appliances",Juicers
"Electronics &amp; Appliances",Fryers
"Electronics &amp; Appliances","Rice Cooker"
"Electronics &amp; Appliances",Grills
"Electronics &amp; Appliances","Kitchen Scales"
"Electronics &amp; Appliances","Can Opener"
"Electronics &amp; Appliances","Yoghurt, Ice-Cream, Popcorn &amp; Waffle"
"Electronics &amp; Appliances","Hair Care"
"Electronics &amp; Appliances",Shaver
"Electronics &amp; Appliances",Epilator
"Electronics &amp; Appliances","Electric Tooth Brush"
"Electronics &amp; Appliances","Personal Scales"
"Electronics &amp; Appliances","Blood Pressure Monitor"
"Electronics &amp; Appliances","Foot Spa"
Pets,
Diet,
"Healthy Club",
"Ramadan Offers",
"Ramadan Essentials",
"Yameesh Ramadan",
