parent,child,parent_ar,child_ar
Spinneys Products, ALL ,منتجات سبينيس, الكل 
Spinneys Products,Groceries,منتجات سبينيس,البقالة
Spinneys Products,Chilled &amp; Juices,منتجات سبينيس,مبردات و عصائر
Spinneys Products,Canned &amp; Breakfast,منتجات سبينيس,المعلبات ومنتجات الفطار
Spinneys Products,Sauces &amp; Spices,منتجات سبينيس,التوابل والصوصات
Spinneys Products,Clean &amp; Bright,منتجات سبينيس,منتجات التنظيف و التلميع
Spinneys Products,Laundry Products,منتجات سبينيس,منتجات غسيل الملابس
Spinneys Products,Paper &amp; Plastic Products,منتجات سبينيس,منتجات ورقية وبلاستيكية
Spinneys Products,Dishwashing,منتجات سبينيس,منتجات غسيل الأطباق
Spinneys Products,Health &amp; Beauty,منتجات سبينيس,التجميل والعناية بالصحة
Spinneys Products,Men,منتجات سبينيس,رجالي
Spinneys Products,Women,منتجات سبينيس,حريمي
Spinneys Products,Kids,منتجات سبينيس,اطفال
Spinneys Products,Linen,منتجات سبينيس,مفروشات
Bakery,,المخبوزات,
Fresh Food, ALL ,الأطعمة الطازجة, الكل 
Fresh Food,Fruits,الأطعمة الطازجة,فاكهة
Fresh Food,Vegetables,الأطعمة الطازجة,خضروات
Fresh Food,Meat,الأطعمة الطازجة,اللحوم
Fresh Food,Poultry,الأطعمة الطازجة,الدواجن
Fresh Food,Seafood,الأطعمة الطازجة,الأسماك
Food Cupboard, ALL ,الاطعمة الجافة و البقالة, الكل 
Food Cupboard,Herbs &amp; Spices,الاطعمة الجافة و البقالة,الأعشاب و التوابل
Food Cupboard,Sauces &amp; Dressings,الاطعمة الجافة و البقالة,الصوصات 
Food Cupboard,Rice,الاطعمة الجافة و البقالة,الأرز
Food Cupboard,Pulses &amp; Grains,الاطعمة الجافة و البقالة,البقوليات و الحبوب
Food Cupboard,Pasta,الاطعمة الجافة و البقالة,المكرونة
Food Cupboard,Sugar,الاطعمة الجافة و البقالة,السكر
Food Cupboard,Homebake &amp; Desserts,الاطعمة الجافة و البقالة,لوازم الخبز و الحلويات
Food Cupboard,Jam &amp; Spreads,الاطعمة الجافة و البقالة,المربى و الحلاوة و الشيكولاته 
Food Cupboard,Breakfast Cereal,الاطعمة الجافة و البقالة,حبوب الإفطار
"Cheese, Dairy &amp; Eggs",,منتجات الألبان والزبدة والبيض,
Chilled &amp; Frozen , ALL ,منتجات مبردة و مجمدة, الكل 
Chilled &amp; Frozen ,Fish,منتجات مبردة و مجمدة,الأسماك
Chilled &amp; Frozen ,Poultry,منتجات مبردة و مجمدة,دواجن
Beverage, ALL ,المشروبات, الكل 
Beverage,Tea,المشروبات,الشاي
Beverage,Coffee and Creamer,المشروبات,القهوة
Beverage,Chocolate &amp; Cocoa,المشروبات,الشيكولاته الساخنه
Beverage,Herbal,المشروبات,أعشاب
Beverage,Carbonated and Power Drinks,المشروبات,مشروبات غازية و مشروبات الطاقة
Beverage,Juices,المشروبات,العصائر
Sweets &amp; Snacks, ALL ,الحلويات والمقرمشات, الكل 
